OverallQual,GarageCars,GrLivArea,1stFlrSF,TotalBsmtSF,GarageArea,ExterQual,FullBath,BsmtQual,YearBuilt,YearRemodAdd,TotRmsAbvGrd,Fireplaces,2ndFlrSF,KitchenQual,BsmtFinSF1,LotArea,CentralAir,MasVnrArea,Foundation,BedroomAbvGr,MSZoning,BsmtFullBath,OverallCond,WoodDeckSF,GarageType,HalfBath,SaleType,LotShape,Neighborhood,MSSubClass,LandSlope,BsmtExposure,SaleCondition,GarageYrBlt,LandContour,Fence,OpenPorchSF,LotFrontage,BsmtUnfSF,SalePrice
5,1,1352,1352,1062,288,2,1,2,1958,1958,6,0,0,1,300,6930,1,120.0,2,3,1,0,4,168,3,0,1,2,20,80,1,4,2,1958.0,1,2,0,92.0,468,130000
8,2,1924,1086,1086,592,1,2,1,1998,1998,7,1,838,1,956,12011,1,530.0,1,3,1,1,5,208,1,1,1,2,4,60,1,4,1,1998.0,1,2,75,78.0,130,280000
6,2,912,912,888,470,2,1,1,1978,1978,5,1,0,2,773,7540,1,0.0,2,2,1,1,6,0,1,0,1,2,5,85,1,4,1,1978.0,1,2,0,78.0,115,156000
5,1,1505,988,883,240,2,1,2,1940,1982,8,0,517,2,399,9144,1,0.0,2,3,1,1,5,0,2,0,1,1,9,50,1,1,1,1940.0,1,2,0,78.0,484,145000
7,2,1922,495,0,672,1,3,2,2003,2003,7,1,1427,1,0,7301,1,500.0,5,4,1,0,5,0,3,0,4,1,16,85,1,1,1,2003.0,1,2,0,64.0,0,198500
6,1,987,483,483,264,2,1,2,1972,2007,5,0,504,1,162,1680,1,510.0,2,2,2,0,8,250,2,1,1,1,23,160,1,1,1,1972.0,1,2,0,21.0,321,118000
6,2,1574,790,796,566,2,2,1,1976,1976,6,1,784,2,712,18800,1,120.0,1,3,1,1,5,306,1,1,1,2,7,60,1,3,1,1976.0,1,2,111,21.0,84,190000
5,1,1344,672,672,468,2,1,2,1920,1997,6,0,672,2,456,10690,1,0.0,2,3,2,0,7,0,2,0,1,1,14,70,1,1,1,1964.0,1,2,128,59.0,216,147000
6,2,1394,1394,1394,514,2,1,1,1963,1963,6,2,0,2,609,9500,1,247.0,2,3,1,1,5,0,1,1,1,2,12,20,1,1,1,1963.0,1,2,76,59.0,785,159000
6,1,1431,1431,1099,296,2,1,1,1962,1962,6,1,0,2,371,9150,1,305.0,2,3,1,0,5,64,5,0,1,2,12,80,1,2,1,1962.0,1,2,110,101.0,728,165000
5,1,1268,1268,1268,244,2,1,2,1954,1954,7,1,0,2,540,7800,1,200.0,1,2,1,0,6,0,1,0,1,1,12,20,1,1,1,1954.0,1,2,98,78.0,728,132000
5,2,1287,1287,1063,576,2,1,2,1959,2006,7,1,0,1,72,9830,1,0.0,2,3,1,1,7,364,2,0,1,2,12,20,1,1,1,1997.0,1,2,17,78.0,733,162000
6,2,1664,953,953,460,2,2,1,2000,2000,7,1,711,2,0,8121,1,0.0,1,3,1,0,5,100,1,1,1,2,18,60,1,1,1,2000.0,1,2,40,78.0,953,172400
4,2,1588,1120,0,680,2,2,1,1959,1959,7,1,468,2,0,17120,1,0.0,2,4,1,0,4,0,2,0,1,1,20,50,1,1,1,1991.0,1,2,59,80.0,0,134432
6,1,752,752,744,264,2,1,1,1984,1984,4,0,0,2,623,7175,1,0.0,2,2,1,1,5,353,1,0,1,1,13,120,1,1,1,1984.0,1,2,0,50.0,0,125000
5,1,1319,1319,608,270,2,1,2,1953,1953,5,0,0,2,428,10634,1,0.0,1,3,1,1,6,66,1,0,1,1,12,20,1,1,1,1953.0,1,3,0,79.0,0,123000
7,2,1928,847,847,434,1,2,1,2003,2004,8,1,1081,1,0,8200,1,0.0,1,4,1,0,5,100,3,1,1,1,1,60,1,1,1,2003.0,1,3,48,65.0,847,219500
1,0,904,904,683,0,4,0,4,1922,1950,4,0,0,4,350,10020,2,0.0,3,1,1,1,1,0,3,1,1,2,16,30,3,2,1,2003.0,3,3,0,65.0,333,61000
5,2,914,914,870,576,1,1,1,1996,1996,5,0,0,2,298,8846,1,0.0,1,2,1,0,5,0,2,0,1,2,1,85,1,4,1,1998.0,1,3,0,57.0,572,148000
8,2,2466,1580,1580,610,1,3,1,2004,2005,8,1,886,1,0,11143,1,0.0,1,4,4,0,5,159,1,0,1,2,6,60,1,1,1,2004.0,1,3,214,102.0,1580,340000
9,3,1856,1856,1856,834,1,1,3,2010,2010,8,1,0,3,1445,11394,1,350.0,1,1,1,1,2,113,1,1,2,1,19,20,1,4,3,2010.0,1,3,0,88.0,411,394432
6,2,1800,1007,982,463,2,2,1,2000,2000,7,1,793,2,0,8123,1,16.0,1,3,1,0,5,100,1,1,1,2,18,60,1,1,1,2000.0,1,3,63,60.0,982,179000
5,1,1691,1026,1026,308,2,2,2,1924,1950,6,1,665,1,218,5000,1,0.0,3,3,1,0,6,0,2,0,1,1,24,50,1,1,1,1924.0,1,3,0,50.0,808,127000
7,2,1301,1301,1293,572,1,2,1,2006,2006,5,1,0,1,0,7200,1,0.0,1,2,4,1,5,216,1,0,2,1,6,20,1,1,3,2006.0,1,3,121,60.0,1293,187750
7,2,1797,939,939,639,1,2,1,2006,2006,8,0,858,1,0,9245,1,0.0,1,3,1,0,5,144,1,1,1,2,1,60,1,4,1,2006.0,1,3,53,79.0,939,213500
6,2,784,784,784,360,2,1,4,1928,1950,5,0,0,2,0,9000,2,0.0,3,2,5,0,3,0,2,0,1,1,13,45,1,1,1,1950.0,1,3,0,60.0,784,76000
6,2,1953,1079,1580,501,1,2,1,1992,1992,9,2,874,1,985,53107,1,0.0,1,3,1,1,5,216,1,1,1,3,20,60,2,4,1,1992.0,3,3,231,60.0,595,240000
8,2,1269,1269,1256,430,1,2,1,2004,2005,6,1,0,1,24,3182,1,16.0,1,2,1,0,5,146,1,0,1,1,22,120,1,1,1,2004.0,1,3,20,43.0,1232,192000
5,0,1184,658,658,0,2,1,2,1910,1996,8,0,526,2,0,8410,1,0.0,1,5,1,0,3,0,1,0,1,1,16,50,1,1,4,2004.0,1,3,151,58.0,658,81000
6,1,1125,1125,1041,352,2,1,2,1976,1976,6,1,0,2,631,7200,1,255.0,2,3,1,1,6,296,2,0,1,1,16,80,1,4,2,1977.0,1,3,0,72.0,410,125000
7,2,1479,1479,1468,577,1,2,1,1999,2000,6,0,0,1,0,9382,1,125.0,1,3,1,0,5,120,1,0,1,2,1,20,1,1,1,1999.0,1,3,25,93.0,1468,191000
10,3,2332,1742,1682,846,3,2,3,2007,2008,9,1,590,3,1280,12474,1,272.0,1,3,1,1,5,196,3,1,2,1,11,60,1,4,3,2008.0,1,3,134,96.0,402,426000
5,1,1367,961,861,384,2,1,2,1900,1950,7,0,406,2,241,8405,1,0.0,3,4,1,1,8,0,2,0,1,1,16,50,1,1,1,1978.0,1,2,130,50.0,229,119000
6,2,1961,804,804,560,2,2,3,2001,2002,7,1,1157,1,690,12209,1,0.0,1,3,1,1,5,125,3,1,1,2,5,60,1,1,1,2001.0,1,2,192,71.0,114,215000
5,1,882,882,0,294,2,1,3,1959,1959,5,0,0,2,0,8339,1,0.0,5,3,1,0,7,0,1,0,1,2,12,20,1,1,1,1959.0,1,2,0,71.0,0,106500
4,0,788,788,788,0,2,1,2,1941,1950,4,2,0,2,266,7446,1,0.0,2,2,1,0,5,0,1,0,1,1,9,30,1,1,2,1959.0,1,3,0,71.0,522,100000
5,1,1034,735,735,240,2,1,2,1940,1950,5,0,299,2,0,10134,1,0.0,2,2,1,0,6,0,2,0,1,1,8,50,1,1,1,1940.0,1,3,39,60.0,735,109000
5,1,1144,1144,1144,596,2,1,2,1956,1956,6,0,0,2,739,9571,1,0.0,2,3,1,1,6,44,1,0,1,1,16,20,1,4,1,1956.0,1,3,0,68.0,405,129000
5,2,894,894,894,600,2,1,2,1972,1972,6,0,0,2,777,7200,1,0.0,2,2,1,0,5,215,2,0,1,1,1,20,1,4,1,1985.0,3,3,0,60.0,117,123000
5,1,1812,876,864,264,2,2,2,1962,1962,8,1,936,2,540,7590,1,288.0,2,4,1,0,5,0,1,0,1,1,12,60,1,1,1,1962.0,1,3,168,69.0,324,169500
5,1,1077,1077,961,338,2,1,4,1920,1950,6,0,0,2,0,8967,1,0.0,3,2,2,0,2,0,2,0,1,1,14,30,1,1,2,1920.0,1,3,0,60.0,961,67000
7,2,1550,1112,1092,438,1,2,1,2006,2007,7,0,438,1,812,8125,1,100.0,1,2,4,1,5,0,1,0,1,1,6,60,1,1,1,2007.0,1,3,168,65.0,280,241000
8,2,1288,1288,1260,500,1,1,1,1996,1996,4,2,0,3,786,14963,1,0.0,1,1,1,1,5,120,1,1,1,3,2,120,1,1,1,1996.0,1,3,30,38.0,474,245500
7,2,1310,1310,1310,400,1,2,1,2005,2005,6,1,0,1,24,8767,1,0.0,1,3,1,0,5,0,1,0,2,2,1,20,1,4,3,2005.0,1,3,0,65.0,1286,164990
5,1,672,672,672,240,2,1,2,1940,1997,4,0,0,2,0,10200,1,0.0,1,2,1,0,8,168,2,0,1,1,10,30,1,1,1,1940.0,1,4,0,60.0,672,108000
8,2,2263,1165,1141,420,1,2,1,1998,1998,10,1,1098,1,0,12090,1,650.0,1,4,1,0,5,144,3,1,1,1,4,60,1,1,2,1998.0,1,4,123,93.0,1141,258000
6,2,1572,806,806,373,2,2,1,1995,1996,7,1,766,2,0,10364,1,0.0,1,3,1,0,5,0,3,1,1,2,18,60,1,1,1,1995.0,1,4,40,93.0,806,168000
4,2,1620,1620,1281,490,2,2,2,1976,1993,8,1,0,2,1116,9991,1,0.0,2,3,1,1,4,120,1,0,1,2,10,20,1,1,1,1993.0,1,3,78,93.0,165,150000
6,1,1639,1166,1064,240,2,1,2,1936,1950,6,0,0,2,0,10480,1,0.0,3,3,1,0,5,0,2,0,1,1,24,50,1,1,1,1936.0,1,3,0,51.0,1064,115000
6,1,1680,840,840,308,2,2,1,1915,1976,8,0,840,2,0,15576,1,0.0,3,4,1,0,7,0,1,0,1,1,3,70,1,1,1,1960.0,1,3,0,63.0,840,177000
7,3,2172,1071,1063,947,1,2,3,2006,2006,9,1,1101,1,0,14154,1,350.0,1,3,1,0,5,192,1,1,2,1,11,60,1,1,3,2006.0,1,3,62,109.0,1063,280000
8,3,2078,1050,1034,836,1,2,3,2007,2008,8,1,1028,3,789,10800,1,100.0,1,3,4,1,5,0,1,1,2,1,6,60,1,1,3,2008.0,1,3,102,85.0,245,339750
5,1,1276,1276,1276,350,2,1,2,1958,1958,5,0,0,2,0,9571,1,0.0,2,3,1,0,3,0,1,0,3,1,16,20,1,1,2,1958.0,1,3,0,68.0,1276,60000
5,2,1056,1056,1056,572,2,1,2,1955,1955,5,0,0,2,1056,34650,2,0.0,2,3,1,1,5,264,1,0,1,1,18,190,1,3,1,1955.0,2,3,0,100.0,0,145000
7,2,1478,1478,1470,484,3,2,3,2009,2009,7,1,0,1,578,4403,1,432.0,1,2,4,1,5,0,1,1,2,3,6,20,1,4,3,2009.0,1,3,144,100.0,892,222000
5,2,1028,1028,1008,360,2,1,2,1927,1950,5,1,0,2,0,8960,1,0.0,2,2,2,0,6,0,2,0,1,1,8,30,1,1,1,1927.0,1,3,0,56.0,1008,115000
7,3,2097,1080,1080,678,1,2,1,1993,1993,9,1,1017,1,50,11228,1,0.0,1,3,1,0,5,196,1,1,1,3,13,60,1,1,1,1993.0,1,3,187,59.0,499,228000
7,2,1340,1340,1340,396,1,2,1,2007,2007,6,0,0,1,24,8899,1,0.0,1,3,1,0,5,100,1,0,2,2,18,20,1,4,3,2007.0,1,3,30,73.0,1316,181134
6,2,1400,672,672,440,2,1,2,1978,1978,6,1,728,2,209,7844,1,203.0,2,3,1,0,7,0,1,1,1,1,10,60,1,1,1,1978.0,1,3,0,74.0,463,149500
6,3,2624,1370,1370,864,2,2,1,1918,1950,10,1,1254,2,1128,22420,2,0.0,3,4,1,1,6,0,2,1,1,2,3,70,1,1,1,1918.0,1,3,0,86.0,242,239000
5,1,1134,756,756,240,2,1,2,1940,1950,7,0,378,2,312,8160,2,0.0,3,3,1,1,6,0,2,1,1,1,16,50,1,1,4,1940.0,1,3,0,60.0,444,126000
5,1,1056,1056,1056,304,2,1,2,1968,1968,6,1,0,2,775,8450,1,0.0,2,3,1,1,6,0,1,0,1,1,12,20,1,1,1,1968.0,1,3,85,65.0,281,142000
7,4,1344,1344,1344,784,2,2,1,1997,1998,8,0,0,2,1309,7060,1,200.0,1,2,2,2,5,0,1,0,1,1,5,90,1,2,5,1997.0,1,3,0,78.0,35,206300
6,2,1602,1602,1602,529,1,2,1,1977,2000,8,1,0,1,1246,16635,1,126.0,2,3,1,0,7,240,1,0,1,2,7,20,1,1,1,1977.0,1,3,0,78.0,356,215000
5,2,988,988,988,520,2,1,2,1954,1954,4,0,0,2,0,21750,1,0.0,2,2,1,0,5,0,1,0,1,1,5,20,2,1,1,1954.0,4,3,0,100.0,988,113000
8,3,2630,1470,1470,696,1,2,1,1998,1998,8,1,1160,1,986,9200,1,473.0,1,4,1,1,5,0,1,1,1,1,4,60,1,1,1,1998.0,1,3,66,80.0,484,315000
6,1,1196,1196,1196,297,2,1,1,1956,1956,6,1,0,2,616,9000,1,74.0,2,2,1,1,5,0,1,0,1,1,12,20,1,1,1,1956.0,1,3,44,72.0,580,139000
7,1,1389,707,651,240,2,1,2,1946,1992,6,2,682,2,0,3378,1,0.0,2,3,2,0,8,0,2,1,1,1,8,60,1,1,1,1947.0,4,3,0,60.0,651,135000
7,2,1644,1644,1518,569,1,2,1,1989,1989,5,1,0,1,1518,12800,1,145.0,1,2,1,1,5,80,1,0,1,1,13,80,2,2,1,1989.0,3,3,0,60.0,0,275000
4,1,907,907,907,352,2,1,2,1957,1957,5,0,0,2,288,8593,1,0.0,2,3,1,0,6,0,2,0,1,2,12,20,1,1,1,1964.0,1,3,0,77.0,619,109008
7,2,1208,1208,1208,628,1,2,1,2007,2007,6,0,0,1,664,6762,1,108.0,1,2,1,1,5,105,1,0,2,1,1,20,1,1,3,2007.0,1,3,54,64.0,544,195400
6,2,1412,1412,1392,576,2,2,1,1988,1988,6,1,0,1,1005,11457,1,0.0,2,3,1,1,5,0,1,0,1,2,17,20,1,3,1,1988.0,1,3,0,130.0,387,175000
6,1,987,483,483,264,2,1,2,1971,1971,4,0,504,2,387,1680,1,232.0,2,2,2,0,5,0,2,1,3,1,23,160,1,1,2,1971.0,1,3,0,21.0,96,85400
6,0,1198,1088,901,0,2,1,2,1920,1998,7,0,110,2,0,5586,1,0.0,3,4,2,0,7,0,2,0,4,2,8,50,1,1,2,1971.0,2,2,98,60.0,901,79900
5,2,1365,765,765,440,2,1,2,1971,1971,6,0,600,2,471,1920,1,376.0,2,2,2,1,5,240,2,1,1,1,23,160,1,1,1,1971.0,1,2,36,24.0,294,122500
6,2,1604,926,926,470,2,2,1,1997,1998,7,1,678,2,0,10839,1,0.0,1,3,1,0,5,0,1,1,1,2,18,60,1,1,1,1997.0,1,2,36,100.0,926,181000
4,0,630,630,630,0,2,1,1,1972,1972,3,0,0,2,495,1890,1,0.0,2,1,2,1,7,88,1,0,1,1,15,180,1,4,1,1997.0,1,2,0,21.0,135,81000
7,2,1661,827,799,550,1,2,1,1996,1996,6,1,834,1,385,10667,1,0.0,1,3,1,1,6,158,1,1,7,3,1,60,1,4,1,1996.0,1,2,61,43.0,70,212000
6,2,1118,734,648,440,2,1,4,1920,1950,6,0,384,2,0,4400,1,0.0,3,2,2,0,8,0,2,0,1,1,8,50,1,1,1,1990.0,1,2,0,40.0,648,116000
6,1,904,904,884,180,1,1,2,1926,2004,4,0,0,2,0,6000,1,0.0,1,2,2,0,7,0,2,0,1,1,9,45,1,1,1,1926.0,1,2,0,50.0,884,119000
5,1,694,694,440,352,2,1,2,1913,2002,4,1,0,1,365,4280,2,0.0,1,2,1,0,6,0,2,0,1,1,3,30,1,1,1,1990.0,1,2,0,40.0,75,90350
6,2,1196,684,684,528,2,1,2,1920,2000,7,0,512,1,0,12354,1,0.0,3,3,1,0,8,0,2,0,5,1,16,50,1,3,1,2005.0,1,4,46,67.0,684,110000
10,3,2402,2402,3094,672,3,2,3,2008,2008,10,2,0,3,1767,15431,1,200.0,1,2,1,1,5,0,1,0,1,1,11,20,1,2,1,2008.0,1,4,72,105.0,788,555000
4,0,1440,1440,1440,0,2,2,2,1955,1955,8,0,0,4,133,12108,2,270.0,2,4,1,0,4,0,1,0,1,1,16,90,1,1,1,2008.0,1,4,0,92.0,1307,118000
5,2,1573,1128,1078,360,2,2,2,1930,1992,8,1,445,2,0,6240,1,0.0,1,3,2,0,7,0,2,0,1,1,9,50,1,1,1,1930.0,1,4,0,52.0,1078,162900
7,3,1258,1258,1258,648,1,2,3,2006,2007,6,1,0,1,0,3922,1,72.0,1,2,1,0,5,144,1,0,2,1,22,120,1,4,3,2007.0,1,4,16,53.0,1258,172500
7,2,1908,933,915,493,1,2,1,1994,1995,8,1,975,1,642,8750,1,0.0,1,4,1,1,5,144,1,1,1,1,1,60,1,1,1,1994.0,1,4,133,70.0,273,210000
6,2,1689,1689,1436,480,2,1,2,1956,1956,7,1,0,2,0,9855,1,0.0,2,3,1,0,5,0,1,0,3,1,16,20,1,1,1,1956.0,1,2,0,73.0,1436,127500
6,2,1888,1888,1517,578,1,2,2,1966,2002,6,1,0,1,247,16492,1,0.0,2,2,1,0,6,0,1,1,1,2,12,20,1,1,1,1966.0,1,2,0,137.0,557,190000
7,2,1886,956,930,431,1,2,1,1998,1999,10,1,930,1,0,11214,1,0.0,1,4,1,0,5,89,1,1,1,2,18,60,1,1,1,1998.0,1,2,0,137.0,930,199900
6,1,1376,780,780,198,2,2,2,1937,1950,7,1,596,2,0,8600,1,0.0,3,3,2,0,6,0,2,0,1,1,14,50,1,1,1,1937.0,2,2,0,50.0,780,119500
3,1,1183,679,649,308,2,1,2,1948,2002,6,0,504,2,331,6000,1,0.0,2,2,2,0,7,0,2,1,1,1,8,50,1,1,1,1981.0,1,2,176,50.0,318,120000
6,1,813,813,813,270,2,1,2,1930,2005,5,0,0,1,0,5684,1,0.0,3,2,2,0,8,0,2,0,1,1,8,30,1,1,1,1932.0,1,2,113,70.0,813,110000
7,2,1533,1533,1533,576,2,2,1,1975,1975,5,2,0,1,655,70761,1,0.0,2,2,1,1,5,200,1,0,1,2,20,20,2,2,1,1975.0,3,2,54,62.0,878,280000
6,2,1756,888,872,422,1,2,3,1996,1997,7,0,868,2,742,9303,1,42.0,1,3,1,1,5,144,1,1,1,2,17,60,1,1,1,1996.0,1,2,122,62.0,130,204000
8,2,1590,786,768,676,1,2,1,2008,2008,6,0,804,1,0,9000,1,0.0,1,3,4,0,5,0,1,1,1,1,6,60,1,1,1,2008.0,1,2,30,75.0,768,210000
5,2,1728,1728,1728,560,2,2,2,1976,1976,8,0,0,2,1606,9297,1,0.0,2,4,1,2,5,0,2,0,1,1,5,90,1,1,6,1976.0,1,2,0,63.0,122,188000
7,2,1242,1242,1242,528,2,1,2,1973,1973,6,1,0,2,916,9600,1,320.0,2,3,1,0,6,0,1,1,1,1,7,20,1,1,1,1973.0,1,2,0,80.0,326,175500
5,3,1344,624,624,513,2,1,2,1916,1950,7,0,720,2,0,4571,2,0.0,3,4,2,0,5,0,2,0,3,1,8,70,1,1,2,1916.0,1,2,0,34.0,624,98000
4,2,1663,1663,1364,529,2,1,1,1954,1994,6,2,0,1,1116,53227,1,0.0,2,2,1,1,6,224,1,0,1,2,20,20,2,2,1,1954.0,3,2,137,34.0,248,256000
8,1,1666,833,588,228,2,1,2,1925,1996,7,1,833,1,0,5100,1,0.0,1,3,2,0,7,192,2,0,1,1,8,70,1,1,1,1925.0,1,2,63,34.0,588,161000
5,1,1203,979,709,352,2,1,2,1950,1950,5,1,224,1,185,7015,1,161.0,2,3,1,1,4,0,2,0,1,2,9,50,1,1,1,1950.0,2,2,0,34.0,524,110000
8,2,1935,832,832,552,1,2,1,2009,2009,8,0,1103,2,544,8004,1,110.0,1,3,4,1,5,0,3,1,2,2,6,60,1,1,3,2009.0,1,2,150,75.0,288,263435
7,2,1135,575,560,576,1,1,1,1936,2007,6,0,560,1,350,7200,1,0.0,1,3,1,1,9,256,2,0,1,1,24,70,1,1,1,1971.0,1,2,0,60.0,0,155000
5,1,864,864,864,360,2,1,2,1965,1965,5,1,0,2,553,8281,1,0.0,2,3,1,0,5,0,2,0,1,2,10,20,1,1,1,1965.0,1,3,0,60.0,0,62383
6,1,1660,849,715,240,2,1,2,1934,1995,6,1,811,2,326,11988,1,0.0,2,3,1,0,7,0,2,1,1,2,3,70,2,1,1,1939.0,4,3,0,74.0,389,188700
5,0,1040,1040,1040,0,2,2,1,1978,1978,5,0,0,2,616,8430,1,136.0,2,3,1,0,5,0,2,0,1,1,1,20,2,1,1,1939.0,4,3,0,60.0,424,124000
7,2,1414,1414,1375,398,1,2,1,2004,2004,6,1,0,1,0,3072,1,18.0,1,2,2,0,5,144,1,0,1,1,22,120,1,1,1,2004.0,1,3,20,60.0,1375,178740
7,2,1277,1277,1277,526,2,1,2,1970,1970,5,1,0,2,778,10628,1,0.0,2,2,1,1,5,0,1,0,1,1,12,20,1,2,1,1970.0,1,3,0,85.0,499,167000
5,1,1644,888,728,312,2,1,2,1942,1995,7,2,756,1,386,9480,1,224.0,2,3,1,0,7,168,1,1,1,1,12,70,1,1,1,1942.0,1,3,0,79.0,342,146500
8,3,1634,1634,1626,866,1,2,1,2006,2006,7,1,0,1,0,11428,1,248.0,1,3,1,0,5,0,1,0,1,2,11,20,1,1,1,2006.0,1,3,44,98.0,1626,250000
6,2,1710,832,832,506,1,2,1,1993,1993,7,0,878,1,426,9291,1,120.0,1,3,1,0,5,144,1,1,1,2,13,60,1,1,1,1993.0,1,3,70,76.0,406,187000
8,2,1502,1502,1488,528,1,1,1,1985,1985,4,0,0,1,368,6820,1,0.0,1,1,1,1,5,0,1,1,1,2,19,120,1,4,1,1985.0,1,3,54,76.0,0,212000
7,2,1969,1161,808,534,2,2,1,1977,1977,8,1,808,2,0,11952,1,0.0,2,3,1,0,6,0,1,1,1,1,7,60,1,1,1,1977.0,1,3,0,92.0,808,190000
6,2,1072,1072,547,525,2,1,1,2005,2005,5,0,0,2,459,3675,1,80.0,1,2,2,1,5,0,5,0,1,1,16,180,1,2,1,2005.0,1,3,28,35.0,88,148000
8,3,1976,1976,1976,908,1,2,3,2006,2007,7,1,0,1,1350,14977,1,304.0,1,2,1,1,5,250,1,0,2,2,11,20,1,2,3,2006.0,1,3,63,110.0,626,440000
8,2,1652,1652,1494,499,1,2,1,2000,2000,6,0,0,3,1196,5330,1,0.0,1,2,1,1,5,96,1,0,1,1,19,120,1,4,1,2000.0,1,3,48,41.0,298,251000
5,2,970,970,970,624,2,1,2,1963,1963,5,0,0,2,630,8480,1,0.0,2,2,1,1,6,0,2,0,1,1,10,20,1,1,1,1996.0,1,3,24,80.0,340,132500
6,2,1493,1493,1478,508,2,2,1,1997,1998,7,1,0,1,994,13125,1,215.0,1,3,1,1,5,140,1,0,1,1,1,20,2,2,1,1997.0,1,3,39,75.0,484,208900
9,3,2643,2069,2153,694,3,2,1,2006,2006,9,1,574,3,0,13693,1,772.0,1,3,1,0,5,414,3,1,1,1,11,60,1,4,1,2006.0,1,3,84,105.0,2153,380000
8,3,1718,1718,1705,826,1,2,3,2007,2008,7,1,0,1,1288,10637,1,336.0,1,3,1,1,5,208,1,0,1,1,1,20,1,2,1,2007.0,1,3,44,79.0,417,297000
4,2,1131,1131,907,672,2,1,4,1937,2000,7,0,0,2,168,5925,1,435.0,3,2,2,0,7,0,2,0,1,1,8,30,1,1,5,1995.0,2,2,72,50.0,739,89471
9,3,1850,1850,1833,772,1,2,3,2004,2005,8,1,0,1,1261,16033,1,378.0,1,3,1,1,5,519,1,0,1,2,11,20,1,2,1,2004.0,1,2,112,98.0,572,326000
9,3,1792,1792,1792,874,1,2,3,2003,2004,6,1,0,3,1567,11846,1,562.0,1,2,1,1,5,206,1,0,1,2,11,20,1,2,1,2003.0,4,2,49,72.0,225,374000
7,1,1826,916,910,164,1,1,2,1915,2005,7,1,910,3,299,2500,1,0.0,1,4,2,1,8,0,1,1,1,1,8,70,1,1,1,1915.0,1,2,0,50.0,611,155000
6,2,1216,1216,1216,402,2,2,3,1998,1998,5,0,0,2,897,4500,1,116.0,1,2,2,1,5,0,1,0,1,1,5,120,1,1,1,1998.0,1,2,125,32.0,319,164000
5,1,999,999,999,264,2,1,2,1962,2001,6,0,0,1,588,7758,1,0.0,2,3,1,1,7,0,2,0,1,2,10,20,1,1,1,1963.0,1,2,132,32.0,411,132500
5,1,1113,1113,1113,264,1,1,2,1950,2007,5,1,0,1,607,9600,1,0.0,2,3,1,0,7,0,1,0,1,1,12,20,1,1,1,1950.0,1,2,80,80.0,506,147000
5,2,1073,1073,1073,515,2,1,2,1965,1965,6,0,0,2,836,10289,1,168.0,2,3,1,1,7,0,1,1,1,1,12,20,1,1,1,1965.0,1,2,0,79.0,237,156000
5,2,1484,1484,1484,487,2,2,1,1971,1971,7,1,0,2,998,12243,1,0.0,2,3,1,0,6,224,1,0,1,2,7,20,1,4,1,1971.0,1,2,0,70.0,486,175000
5,2,2414,1766,954,520,2,2,2,1900,1970,10,1,648,2,664,10800,2,0.0,2,3,1,0,4,142,1,0,4,1,8,190,1,1,1,1970.0,1,2,0,60.0,290,160000
4,1,630,630,630,286,2,1,1,1970,2002,3,0,0,1,515,1526,1,0.0,2,1,2,1,8,0,1,0,1,1,15,180,1,4,1,1970.0,1,2,0,21.0,115,86000
5,1,1304,616,264,336,2,1,1,1976,1976,4,1,688,2,0,2665,1,0.0,1,3,2,0,6,141,3,1,1,1,15,160,1,3,1,1976.0,1,2,24,21.0,264,115000
6,1,1578,958,806,240,2,1,2,1941,1950,5,2,620,4,403,9490,1,0.0,2,3,1,1,7,0,1,0,1,1,12,50,1,1,1,1941.0,1,2,0,79.0,238,133000
6,2,1456,728,728,429,1,2,1,2006,2006,8,0,728,2,0,15578,1,0.0,1,3,1,0,5,0,1,1,2,2,18,60,1,1,3,2006.0,1,2,0,105.0,728,172785
5,1,1269,1269,1269,308,2,1,2,1960,1960,6,1,0,2,374,7931,1,0.0,2,3,1,0,6,0,2,1,1,1,12,20,1,1,1,1964.0,1,2,0,70.0,363,155000
5,1,886,886,190,273,2,1,4,1938,1996,4,0,0,2,0,5784,1,0.0,3,2,2,0,8,144,1,0,1,1,8,30,1,1,1,1938.0,1,2,20,50.0,190,91300
4,0,720,720,720,0,2,1,2,1920,1950,4,0,0,2,495,7879,2,0.0,2,2,3,0,5,0,1,0,1,1,14,30,1,1,2,1938.0,1,3,523,60.0,225,34900
8,2,3228,3228,3200,546,1,3,1,1992,1993,10,1,0,1,1231,12692,1,0.0,1,4,1,1,5,264,1,0,1,2,4,20,1,1,1,1992.0,1,3,75,60.0,1969,430000
7,1,1820,1133,1026,240,2,2,2,1925,1950,8,0,687,2,329,9120,1,0.0,1,4,1,1,6,0,2,0,1,1,9,50,1,1,1,1925.0,1,4,100,60.0,697,184000
5,1,899,899,864,288,2,1,2,1967,2004,5,0,0,1,450,7800,1,89.0,1,3,1,0,7,64,1,0,1,1,10,20,1,1,1,1967.0,1,2,0,65.0,414,130000
5,1,912,912,912,297,2,1,2,1958,1985,5,0,0,2,111,7535,1,0.0,2,2,1,0,7,12,1,0,1,2,12,20,1,1,1,1958.0,1,5,285,70.0,522,120000
6,1,1218,672,672,264,2,1,2,1973,1973,7,0,546,2,356,1890,1,285.0,2,3,2,0,5,144,2,1,1,1,23,160,1,1,1,1973.0,1,5,28,21.0,316,113000
7,2,1768,866,866,603,1,2,1,2005,2005,7,0,902,1,400,9803,1,0.0,1,3,4,0,5,0,1,1,1,1,6,60,1,1,1,2005.0,1,5,108,75.0,466,226700
