OverallQual,GarageCars,GrLivArea,FullBath,1stFlrSF,BsmtQual,YearRemodAdd,TotalBsmtSF,BsmtFinSF1,ExterQual,2ndFlrSF,Fireplaces,TotRmsAbvGrd,KitchenQual,Foundation,BsmtFinType1,CentralAir,YearBuilt,GarageArea,HalfBath,BsmtFullBath,LotArea,BedroomAbvGr,Neighborhood,MSZoning,WoodDeckSF,MasVnrArea,OverallCond,LandSlope,LotFrontage,MSSubClass,BldgType,BsmtUnfSF,LotShape,GarageType,GarageFinish,RoofStyle,BsmtExposure,Id,Fence,SalePrice
6,2,1709,2,970,1,2006,970,0,1,739,0,7,1,1,3,1,2004,380,0,0,2522,3,16,2,0,50.0,5,1,24.0,160,5,970,1,2,2,1,1,146,2,130000
5,1,875,1,875,2,1993,715,209,2,0,0,5,2,3,5,1,1931,180,0,1,6120,2,9,2,48,0.0,7,1,51.0,30,1,506,1,2,2,1,1,147,2,105000
7,2,2035,2,884,1,2001,884,0,1,1151,1,8,1,1,3,1,2001,434,1,0,9505,3,18,1,144,180.0,5,1,51.0,60,1,884,2,3,3,1,1,148,2,222500
7,0,1080,1,1080,1,2005,1080,680,2,0,0,6,1,1,1,1,2004,0,0,1,7500,3,13,1,0,120.0,5,1,63.0,20,1,400,1,3,3,1,1,149,2,141000
5,1,1344,1,896,1,1950,896,0,2,448,0,7,2,3,3,1,1936,240,0,0,6240,3,9,2,200,0.0,4,1,63.0,50,1,896,1,2,2,1,1,150,2,115000
5,2,969,1,969,2,1975,969,716,2,0,0,5,2,2,5,1,1975,440,1,0,10356,3,1,1,0,0.0,6,1,120.0,20,1,253,1,1,2,1,4,151,2,122000
8,3,1710,2,1710,3,2008,1710,1400,1,0,1,6,1,1,1,1,2007,866,0,1,13891,2,11,1,0,436.0,5,1,107.0,20,1,310,1,1,1,2,2,152,2,372402
6,2,1993,2,1097,2,1971,825,416,2,896,1,8,2,2,4,1,1971,495,1,0,14803,4,7,1,0,252.0,5,1,107.0,60,1,409,2,1,1,1,1,153,3,190000
6,2,1252,1,1252,1,1975,1602,429,2,0,1,4,2,2,5,1,1960,564,0,1,13500,1,20,1,409,0.0,7,1,107.0,20,1,93,1,1,1,5,2,154,3,235000
6,1,1200,1,1200,2,1950,1200,0,2,0,0,7,2,3,3,1,1923,312,0,0,11340,4,8,2,0,0.0,5,1,84.0,30,1,1200,1,2,2,1,1,155,3,125000
6,0,1096,1,572,2,1950,572,0,2,524,0,5,2,3,3,2,1924,0,0,0,9600,2,16,1,0,0.0,5,1,60.0,50,1,572,1,2,2,1,1,156,3,79000
5,2,1040,1,1040,2,1950,0,0,2,0,0,5,2,2,3,1,1950,625,0,0,7200,2,12,1,0,0.0,7,1,60.0,20,1,0,1,2,2,2,1,157,3,109500
8,3,1968,2,774,3,2010,774,0,1,1194,1,8,3,1,3,1,2009,680,1,0,12003,4,17,1,0,84.0,5,1,92.0,60,1,774,1,3,3,1,1,158,3,269500
7,2,1947,2,991,1,2005,991,222,1,956,1,8,1,1,1,1,2004,678,1,0,12552,3,6,4,0,0.0,5,1,100.0,60,1,769,1,1,1,1,1,159,3,254900
7,2,2462,2,1392,1,2006,1392,57,1,1070,1,9,1,1,1,1,2005,576,1,1,19378,4,18,1,239,456.0,5,1,134.0,60,1,1335,2,1,1,1,3,160,3,320000
6,2,1232,2,1232,1,1984,1232,660,2,0,0,6,2,1,5,1,1984,516,0,0,11120,3,2,1,0,0.0,6,1,134.0,20,1,572,2,1,2,1,1,161,3,162500
9,3,2668,2,1572,3,2004,1572,1016,1,1096,2,10,3,1,1,1,2003,726,1,1,13688,3,11,1,400,664.0,5,1,110.0,60,1,556,2,3,3,1,4,162,3,412500
7,2,1541,2,1541,1,2005,1541,1201,1,0,1,7,1,1,5,1,2005,532,0,0,12182,3,11,1,0,226.0,5,1,95.0,20,1,340,1,1,1,1,3,163,3,220000
4,0,882,1,882,2,1956,882,0,2,0,0,4,2,2,3,1,1956,0,0,0,5500,1,8,1,0,0.0,6,1,55.0,45,1,882,1,1,1,1,1,164,2,103200
6,1,1616,2,1149,2,2004,1149,370,2,467,0,5,1,3,6,1,1926,216,0,0,5400,3,8,2,0,0.0,7,1,40.0,40,1,779,1,2,2,1,3,165,2,152000
5,0,1355,2,808,2,1999,644,351,2,547,0,6,2,3,2,1,1940,0,0,1,10106,4,16,1,140,0.0,7,1,62.0,190,2,112,1,2,2,1,1,166,2,127500
5,1,1867,1,1867,2,1993,1617,379,1,0,3,7,2,2,6,1,1955,303,0,1,10708,2,20,1,476,0.0,5,1,62.0,20,1,470,2,1,3,2,1,167,3,190000
8,3,2161,1,1610,3,2007,1582,1288,1,551,1,8,3,1,1,1,2007,789,1,1,10562,3,11,1,178,300.0,5,1,86.0,60,1,294,1,1,3,1,1,168,3,325624
7,2,1720,2,840,1,2004,840,0,1,880,1,7,1,1,3,1,2004,440,1,0,8244,3,18,1,100,0.0,5,1,62.0,60,1,840,2,1,3,1,1,169,3,183500
8,2,1707,2,1707,1,1981,1686,0,1,0,1,6,2,2,3,1,1981,511,1,0,16669,2,17,1,574,653.0,6,1,62.0,20,1,1686,2,1,1,2,1,170,3,228000
5,2,1382,1,854,2,1950,720,360,2,0,0,7,2,2,4,1,1941,660,1,0,12358,2,8,2,237,0.0,6,1,62.0,50,1,360,2,2,2,1,1,171,3,128500
6,2,1656,1,1656,2,1960,1080,639,2,0,2,7,2,2,5,1,1960,528,0,1,31770,3,12,1,210,112.0,5,1,141.0,20,1,441,2,1,3,2,2,172,3,215000
7,2,1767,2,1064,1,1987,1064,495,1,703,1,5,1,1,1,1,1987,504,0,1,5306,2,19,1,441,0.0,7,1,44.0,160,4,354,2,1,1,1,1,173,3,239000
6,2,1362,1,1362,2,1961,1362,288,2,0,1,6,2,2,2,1,1961,504,1,1,10197,3,12,1,0,491.0,5,1,80.0,20,1,700,2,1,2,1,1,174,3,163000
6,2,1651,2,1651,1,1986,1606,1398,2,0,1,7,2,2,2,1,1986,616,0,1,12416,3,17,1,192,132.0,5,1,47.0,20,1,0,2,1,3,1,1,175,3,184000
6,2,2158,2,2158,2,2001,1202,477,2,0,1,7,1,2,2,1,1950,576,0,1,12615,4,16,1,0,0.0,7,1,84.0,20,1,725,1,1,2,1,4,176,2,243000
6,2,2060,2,1164,1,1989,1151,831,1,896,1,8,2,1,1,1,1988,521,1,0,10029,4,20,1,0,268.0,5,1,97.0,60,1,320,2,1,2,1,1,177,2,211000
5,2,1920,2,1252,2,1958,1052,57,1,668,1,8,1,2,2,1,1958,451,0,1,13650,4,10,1,0,0.0,5,1,97.0,50,1,554,1,1,2,1,1,178,2,172500
9,3,2234,2,2234,3,2009,2216,1904,3,0,1,9,3,1,1,1,2008,1166,0,1,17423,1,19,1,0,748.0,5,1,63.0,20,1,312,2,1,3,2,1,179,2,501837
5,2,968,1,968,2,2006,968,0,1,0,0,5,2,2,3,1,1923,480,0,0,8520,2,8,2,0,0.0,6,1,60.0,30,1,968,1,2,2,1,1,180,2,100000
6,2,1525,2,769,1,2000,756,436,1,756,1,5,1,1,1,1,2000,440,1,0,2117,3,6,4,0,456.0,5,1,60.0,160,5,320,1,2,2,1,1,181,2,177000
7,1,1802,1,901,4,1950,793,352,2,901,1,9,2,3,6,1,1920,216,1,0,7588,4,3,1,0,0.0,6,1,54.0,70,1,441,1,2,2,1,1,182,2,200100
5,1,1340,1,1340,4,2006,0,0,2,0,1,7,2,1,6,1,1957,252,0,0,9060,3,16,1,116,98.0,6,1,60.0,20,1,0,1,1,1,2,1,183,2,120000
7,2,2082,2,1362,1,2003,1362,0,2,720,0,6,1,1,3,1,2003,484,1,0,11426,3,8,2,280,0.0,5,1,63.0,50,1,1362,1,2,2,1,1,184,2,200000
5,2,1252,1,936,4,1991,504,0,2,316,0,5,2,1,3,1,1908,576,0,0,7438,3,9,1,104,0.0,8,1,92.0,50,1,504,2,1,2,1,1,185,2,127000
10,3,3608,2,1518,2,1993,1107,0,1,1518,2,12,3,3,3,1,1892,840,1,0,22950,4,8,2,0,0.0,9,1,90.0,75,1,1107,3,2,2,1,3,186,4,475000
7,2,1217,2,1217,1,1991,1188,611,2,0,0,6,1,1,1,1,1990,497,0,1,9947,3,5,1,168,0.0,5,1,90.0,80,1,577,2,1,2,1,4,187,4,173000
5,1,1656,2,808,4,1987,660,0,2,704,0,8,2,2,3,1,1916,180,1,0,10410,3,8,1,0,0.0,7,1,60.0,50,1,660,1,2,2,1,1,188,2,135000
5,2,1224,0,1224,1,1979,1086,1086,2,0,2,6,2,2,1,1,1979,528,2,2,7018,2,13,1,120,275.0,5,1,64.0,90,3,0,1,2,2,1,4,189,2,153337
8,2,1593,1,1593,3,2002,1593,1153,1,0,1,5,3,1,1,1,2001,682,1,1,4923,0,19,1,0,0.0,5,1,41.0,120,4,440,1,1,3,1,4,190,2,286000
8,2,2727,2,1549,1,1994,853,297,1,1178,2,10,1,2,4,1,1932,440,1,0,10570,3,3,1,0,0.0,8,2,70.0,70,1,556,1,2,2,2,1,191,2,315000
7,2,1479,1,725,2,2004,725,626,2,754,0,7,1,2,2,1,1972,484,1,1,7472,4,12,1,0,138.0,9,1,70.0,60,1,99,2,1,3,1,1,192,2,184000
7,2,1431,2,1431,1,1999,1431,560,1,0,0,6,1,1,1,1,1999,666,0,1,9017,3,1,1,0,0.0,5,1,68.0,20,1,871,2,1,3,1,4,193,2,192000
7,2,1709,2,970,1,2004,970,0,1,739,0,7,1,1,3,1,2004,380,0,0,2522,3,16,2,0,50.0,5,1,24.0,160,5,970,1,2,2,1,1,194,2,130000
5,1,864,1,864,2,1972,864,390,2,0,0,5,2,2,2,1,1972,352,0,0,7180,3,1,1,0,0.0,7,1,60.0,20,1,474,2,2,2,2,4,195,2,127000
6,2,1456,2,855,1,1976,855,566,2,601,1,7,2,2,2,1,1976,440,1,0,2280,3,21,1,87,0.0,6,1,24.0,160,5,289,1,1,2,1,1,196,2,148500
7,3,1726,2,1726,3,2007,1726,1126,3,0,1,8,3,1,1,1,2007,786,0,1,9416,3,6,1,171,205.0,5,1,79.0,20,1,600,1,1,3,2,1,197,2,311872
8,2,3112,2,1360,2,1990,1360,1036,1,1360,1,8,1,1,1,1,1918,795,0,1,25419,4,12,1,0,0.0,4,1,174.0,75,1,140,1,2,2,1,1,198,4,235000
6,0,2229,1,929,2,1950,755,0,2,929,0,8,2,2,3,1,1912,0,0,0,5520,5,8,2,0,0.0,6,1,92.0,75,1,755,1,2,2,1,1,199,2,104000
8,3,1713,2,1713,3,2005,1713,1088,1,0,1,7,3,1,1,1,2004,856,0,1,9591,3,11,1,0,262.0,5,1,76.0,20,1,625,1,1,3,2,4,200,2,274900
4,2,1121,2,1121,1,2004,1121,0,2,0,0,5,2,1,3,1,2003,440,0,0,8546,2,16,2,132,0.0,5,1,80.0,20,1,1121,1,1,1,1,1,201,2,140000
6,2,1279,2,1279,2,1977,1196,641,2,0,2,6,2,2,2,1,1977,473,0,0,10125,3,5,1,238,0.0,6,1,75.0,20,1,276,1,2,2,1,1,202,2,171500
6,1,1310,2,865,4,1950,617,617,2,445,0,6,2,3,6,1,1924,398,0,0,7000,2,8,1,0,0.0,6,1,50.0,50,1,0,1,1,2,1,1,203,2,112000
6,2,848,1,848,1,2004,848,662,1,0,1,3,1,1,1,1,2004,420,0,1,4438,1,1,2,149,205.0,5,1,50.0,120,4,186,1,1,1,1,4,204,2,149000
5,1,1284,1,720,2,1950,720,312,2,564,0,5,2,2,6,1,1947,240,1,0,3500,2,8,2,0,0.0,7,1,50.0,50,1,408,1,2,2,1,1,205,5,110000
7,2,1442,2,1442,1,1990,1424,0,2,0,0,5,2,1,3,1,1990,500,0,0,11851,3,18,1,0,0.0,5,1,99.0,20,1,1424,1,1,1,1,1,206,5,180500
5,1,1696,1,1696,2,1962,1140,0,2,0,1,8,2,2,3,1,1962,349,1,0,13673,3,10,1,0,0.0,5,1,40.0,20,1,1140,2,1,1,1,1,207,5,143900
4,1,1100,1,1100,2,1960,1100,419,2,0,1,6,2,1,2,1,1960,312,0,1,12493,3,12,1,355,0.0,5,1,40.0,20,1,375,2,1,1,1,1,208,3,141000
7,2,2062,2,1180,1,1989,1157,1065,1,882,1,7,2,2,1,1,1988,454,1,1,14364,3,13,1,60,128.0,5,2,40.0,60,1,92,2,1,3,1,2,209,3,277000
6,2,1092,1,1092,1,1964,1092,787,2,0,0,6,2,2,4,1,1964,504,0,1,8250,3,12,1,0,260.0,7,1,75.0,20,1,305,1,1,1,2,1,210,2,145000
5,0,864,1,864,2,1950,864,468,2,0,0,5,2,2,4,2,1925,0,0,1,5604,2,16,1,0,0.0,6,1,67.0,30,1,396,1,1,1,1,1,211,2,98000
6,2,1212,2,1212,1,2009,1212,36,2,0,0,6,1,1,1,1,2009,460,0,0,10420,3,16,1,100,0.0,5,1,83.0,20,1,1176,1,1,1,1,3,212,2,186000
7,2,1852,2,932,1,2009,900,822,2,920,1,7,1,1,1,1,2009,644,1,1,8640,3,6,4,168,0.0,5,1,72.0,60,1,78,1,1,1,1,1,213,2,252678
5,2,990,1,990,1,1995,990,716,2,0,0,5,2,1,2,1,1995,576,0,0,13568,3,1,1,224,0.0,5,1,43.0,20,1,274,3,1,2,1,1,214,2,156000
6,1,1392,1,689,1,1977,689,378,2,703,0,6,2,2,1,1,1977,299,1,0,10900,3,1,1,0,153.0,7,1,43.0,60,1,311,2,1,3,1,1,215,2,161750
5,1,1236,1,1236,2,1996,1070,360,2,0,1,6,1,2,5,1,1957,447,0,0,10011,2,12,1,0,64.0,6,1,72.0,20,1,710,2,1,2,1,1,216,2,134450
7,2,1436,2,1436,1,2004,1436,946,1,0,0,8,1,1,1,1,2004,484,0,1,8450,3,1,1,139,266.0,5,1,65.0,20,1,490,1,1,2,1,3,217,2,210000
4,1,1328,1,810,2,1950,686,0,2,518,0,8,2,2,3,2,1925,210,0,0,9906,3,8,2,0,0.0,4,1,57.0,70,1,686,1,2,2,1,1,218,2,107000
7,2,1954,1,1137,2,2006,798,341,1,817,2,8,1,2,5,1,1939,431,1,0,15660,3,3,1,0,312.0,9,1,57.0,50,1,457,2,1,2,1,1,219,2,311500
7,2,1248,2,1248,1,2006,1248,16,1,0,0,5,1,1,1,1,2005,438,0,0,3010,2,22,1,108,16.0,5,1,43.0,120,4,1232,1,1,3,1,4,220,2,167240
7,2,1498,2,1498,1,2006,1498,0,1,0,0,5,1,1,3,1,2006,675,0,0,8990,2,1,1,351,0.0,5,1,73.0,20,1,1498,2,1,1,1,3,221,2,204900
6,2,2267,2,1010,1,2002,1010,0,1,1257,1,8,1,1,3,1,2002,390,1,0,8068,4,18,1,120,0.0,5,1,73.0,60,1,1010,2,3,1,1,1,222,2,200000
6,2,1552,2,811,1,1975,713,550,2,741,1,6,2,2,2,1,1975,434,1,1,11475,3,7,1,209,0.0,6,1,85.0,60,1,163,1,1,1,1,1,223,2,179900
4,2,864,1,864,2,1971,864,524,2,0,0,4,2,2,2,1,1971,576,0,0,10500,2,12,1,216,0.0,6,1,70.0,20,1,160,1,2,2,1,1,224,2,97000
10,3,2392,2,2392,3,2003,2392,56,3,0,1,8,3,1,1,1,2003,968,0,0,13472,3,11,1,248,922.0,5,1,103.0,20,1,2336,1,1,3,2,2,225,2,386250
5,1,1302,2,630,2,1971,630,0,2,672,0,6,2,2,3,1,1971,280,1,0,1680,3,23,2,0,142.0,5,1,21.0,160,5,630,1,2,2,1,1,226,2,112000
7,3,2520,2,1214,1,1995,1203,565,1,1306,1,9,1,1,1,1,1995,721,1,0,9950,4,4,1,224,290.0,5,1,82.0,60,1,638,2,1,1,1,1,227,2,290000
6,1,987,1,483,2,1970,483,321,2,504,0,5,2,2,4,1,1970,280,1,0,1869,2,23,2,0,127.0,6,1,21.0,160,5,162,1,2,2,1,1,228,2,106000
5,1,912,1,912,2,1967,912,842,2,0,1,5,2,2,2,1,1967,336,0,0,8521,3,10,1,0,0.0,5,1,70.0,20,1,70,1,2,2,1,1,229,2,125000
7,2,1555,2,1555,1,2006,1373,16,1,0,1,7,1,1,1,1,2005,430,0,0,3182,2,22,1,143,16.0,5,1,43.0,120,4,1357,1,1,3,1,4,230,2,192500
6,1,1194,1,1194,2,1959,1194,0,2,0,0,6,2,2,3,1,1959,312,0,1,8760,3,12,1,0,220.0,6,1,73.0,20,1,1194,1,1,1,2,1,231,2,148000
8,3,2794,2,1490,1,1996,1462,689,1,1304,1,9,3,1,1,1,1995,810,1,1,15138,4,4,1,0,506.0,5,1,174.0,60,1,773,2,1,3,1,1,232,2,403000
6,1,987,1,483,2,1972,483,0,2,504,1,5,2,2,3,1,1972,288,1,0,1680,2,23,2,0,297.0,5,1,21.0,160,5,483,1,1,2,1,1,233,2,94500
5,1,894,1,894,2,1976,894,182,2,0,0,5,2,2,6,1,1976,308,0,1,10650,3,1,1,365,0.0,6,1,75.0,20,1,0,1,1,2,1,4,234,2,128200
6,2,1960,2,860,1,2002,860,625,1,1100,2,8,1,1,1,1,2002,440,1,1,7851,4,18,1,288,0.0,5,1,75.0,60,1,235,1,3,3,1,1,235,2,216500
6,1,987,1,483,2,1971,483,358,2,504,0,5,2,2,2,1,1971,264,1,0,1680,2,23,2,0,604.0,3,1,21.0,160,4,125,1,2,2,1,1,236,2,89500
7,2,1414,2,1414,1,2004,1414,24,1,0,0,6,1,1,1,1,2004,494,0,0,8773,3,1,1,132,98.0,5,1,65.0,20,1,1390,1,1,1,1,4,237,2,185500
7,2,1744,2,1014,1,2003,996,402,1,730,0,7,1,1,5,1,1993,457,1,0,9453,3,13,1,370,0.0,7,1,65.0,60,1,594,2,1,1,1,1,238,2,194500
8,3,1694,2,1694,3,2007,1694,0,3,0,0,7,1,1,3,1,2007,818,0,0,12030,3,11,1,168,254.0,5,1,93.0,20,1,1694,1,1,3,2,1,239,2,318000
6,1,1487,1,798,2,1950,735,94,2,689,1,7,2,2,6,1,1945,220,1,0,8741,3,16,1,0,0.0,4,1,52.0,50,1,641,1,2,2,1,1,240,2,113000
8,2,1566,2,1566,1,2008,1566,1078,1,0,0,7,1,1,1,1,2008,750,0,1,9000,3,6,4,144,36.0,5,1,75.0,20,1,488,1,1,1,1,4,241,2,262500
5,0,866,1,866,2,1997,686,329,2,0,0,4,1,2,2,1,1945,0,0,0,3880,2,8,2,58,0.0,9,1,40.0,30,1,357,1,1,1,1,1,242,2,110500
5,1,1440,1,889,2,1950,540,0,2,551,0,6,2,3,3,2,1900,352,0,0,5000,3,8,2,0,0.0,4,1,63.0,50,1,540,1,1,2,1,1,243,2,79000
6,1,1217,1,626,1,1980,626,0,2,591,1,6,2,2,3,1,1980,288,1,0,10762,3,13,1,0,0.0,6,1,75.0,160,4,626,1,1,1,1,1,244,2,120000
7,2,2110,2,1222,1,2002,948,695,1,888,2,8,1,1,1,1,1994,463,1,1,8880,3,13,1,0,0.0,5,1,75.0,60,1,253,2,1,1,1,1,245,2,205000
7,2,1872,2,1872,1,1988,1845,929,2,0,1,6,2,2,1,1,1988,604,0,0,10400,3,7,1,197,102.0,5,1,80.0,20,1,916,1,1,3,1,4,246,2,241500
6,1,1928,2,908,4,1950,1020,0,2,1020,0,9,4,6,3,2,1910,440,0,0,9142,4,8,2,0,0.0,8,1,69.0,190,2,1020,1,2,2,1,1,247,2,137000
6,2,1375,1,1375,2,1954,1367,0,2,0,1,5,2,2,3,1,1954,451,0,0,11310,2,12,1,0,0.0,5,1,75.0,20,1,1367,1,1,2,2,1,248,2,140000
7,2,1668,2,840,1,2003,840,0,1,828,0,8,1,1,3,1,2003,500,1,0,11317,3,1,1,144,101.0,5,1,72.0,60,1,840,1,1,1,1,1,249,2,180000
6,2,2144,2,1444,1,2006,1444,697,1,700,2,7,1,2,4,1,1958,389,0,0,159000,4,20,1,0,472.0,7,3,72.0,50,1,747,3,1,3,1,2,250,2,277000
3,0,1306,1,1306,2,1966,728,0,2,0,0,6,4,2,3,1,1940,0,0,0,5350,3,9,1,263,0.0,2,1,55.0,30,1,728,2,1,3,1,1,251,3,76500
8,2,1625,2,1625,1,2007,1573,1573,1,0,1,5,1,1,1,1,2006,538,0,1,4750,2,3,2,123,481.0,5,2,44.0,120,4,0,2,1,3,2,2,252,3,235000
6,2,1640,2,798,1,2004,798,0,1,842,0,6,1,1,3,1,2004,520,1,0,8366,3,13,1,138,0.0,5,1,65.0,60,1,798,2,1,1,1,1,253,3,173000
6,1,1302,2,1302,1,1991,1302,270,2,0,0,7,1,2,6,1,1964,309,0,0,9350,3,12,1,333,108.0,7,1,85.0,80,1,452,1,1,1,2,2,254,2,158000
5,1,1314,1,1314,2,1957,1314,922,2,0,0,5,2,2,4,1,1957,294,0,1,8400,3,12,1,250,0.0,6,1,70.0,20,1,392,1,1,1,1,1,255,2,145000
7,2,2291,2,1005,1,1999,975,0,1,1286,1,8,1,1,3,1,1999,429,1,0,8738,4,18,1,192,302.0,5,1,66.0,60,1,975,2,3,3,1,1,256,2,230000
6,2,1728,2,864,1,2003,864,503,1,864,0,7,1,1,4,1,2003,673,1,0,8791,3,6,4,216,0.0,5,1,64.0,60,1,361,2,1,1,1,1,257,2,207500
7,2,1604,2,1604,1,2006,1604,1334,1,0,1,8,1,1,1,1,2006,660,1,1,8814,3,1,1,123,180.0,5,1,68.0,20,1,270,1,1,1,1,1,258,2,220000
7,2,1792,2,963,1,2001,963,361,1,829,1,7,1,1,1,1,2001,564,1,0,12435,3,1,1,0,172.0,5,1,80.0,60,1,602,1,1,1,1,1,259,2,231500
5,1,882,1,882,1,1956,0,0,2,0,0,4,2,1,1,1,1956,308,0,0,12702,2,8,2,0,0.0,5,1,70.0,20,1,0,1,2,2,1,1,260,2,97000
6,2,1382,1,1382,2,1962,1362,672,2,0,1,6,2,2,4,1,1962,884,0,1,19296,3,12,1,0,399.0,5,1,120.0,80,1,0,1,1,2,1,2,261,3,176000
8,3,2574,2,1482,3,2007,1482,0,1,1092,1,10,3,1,3,1,2007,868,1,0,9588,3,1,1,0,270.0,5,1,69.0,60,1,1482,2,3,3,1,1,262,3,276000
6,2,1212,1,1212,1,1995,506,506,2,0,1,6,2,2,2,1,1977,492,0,1,8471,3,10,1,292,46.0,7,1,88.0,80,1,0,2,1,2,1,4,263,3,151000
5,2,1316,1,926,2,2001,926,234,2,0,0,6,2,3,6,1,1929,484,0,1,5500,3,8,2,0,0.0,7,1,50.0,50,1,0,1,2,2,1,1,264,3,130000
5,2,764,1,764,4,2004,680,0,2,0,0,4,2,3,3,2,1925,504,0,0,5232,2,8,2,0,0.0,5,1,30.0,30,1,680,4,2,2,1,1,265,3,73000
6,2,1422,2,1422,1,1981,1422,588,2,0,1,7,1,2,1,1,1981,576,0,0,12090,3,7,1,276,210.0,6,1,78.0,20,1,606,2,1,3,1,1,266,4,175500
6,2,1511,2,802,1,1997,802,714,2,709,1,8,2,1,1,1,1997,413,1,1,11207,3,18,1,95,0.0,5,1,70.0,60,1,88,2,1,3,1,4,267,4,185000
5,1,2192,2,1052,2,1997,720,378,2,720,1,8,1,1,6,1,1939,240,1,0,8400,4,24,1,262,0.0,8,2,60.0,75,1,342,1,2,2,1,1,268,4,179500
5,1,778,1,778,2,1955,740,403,2,0,1,4,2,2,2,1,1940,924,0,0,6900,2,14,2,0,0.0,6,1,71.0,30,1,212,1,2,3,1,1,269,4,120500
6,1,1113,1,1113,2,1976,1143,751,2,0,1,6,2,2,5,1,1976,504,1,1,7917,3,16,1,370,174.0,7,1,71.0,20,1,392,2,1,1,2,1,270,4,148000
8,3,1939,2,1095,1,2006,1095,0,1,844,1,8,1,1,3,1,2006,1053,1,0,10728,3,6,4,192,0.0,5,1,84.0,60,1,1095,1,1,1,1,3,271,4,266000
7,2,1363,1,1363,1,2005,1385,226,2,0,2,5,2,2,6,1,1954,439,0,1,39104,2,20,1,81,0.0,7,3,73.0,20,1,96,2,1,2,5,2,272,4,241500
8,3,2270,2,1164,1,2007,1152,524,1,1106,1,9,1,1,1,1,1999,671,1,0,11764,4,4,1,132,348.0,7,1,92.0,60,1,628,2,1,3,1,1,273,4,290000
6,1,1632,2,1632,2,1988,1240,620,2,0,1,6,2,2,4,1,1958,338,0,1,9600,3,12,1,289,183.0,6,1,80.0,20,1,0,1,1,1,2,1,274,2,139000
5,1,816,1,816,2,1982,816,546,2,0,0,5,2,2,2,1,1982,264,0,0,8314,2,5,1,168,0.0,7,1,76.0,20,1,270,1,1,2,1,2,275,2,124500
7,2,1548,2,952,2,2007,952,0,1,596,0,5,3,3,3,2,1925,672,1,0,7264,3,9,1,74,0.0,7,1,55.0,50,1,952,1,2,2,1,1,276,2,205000
7,2,1560,2,1560,3,2003,1560,0,1,0,0,7,1,1,3,1,2003,573,0,0,9196,3,5,1,100,0.0,5,1,129.0,20,1,1560,2,1,3,1,1,277,2,201000
4,2,864,1,864,2,1951,864,120,2,0,0,4,2,2,6,1,1951,400,0,0,19138,2,18,1,0,0.0,5,1,140.0,20,1,744,1,2,2,1,1,278,2,141000
9,3,2121,2,2121,3,2007,2121,0,3,0,1,8,3,1,3,1,2006,732,1,0,14450,3,11,1,124,315.0,5,1,107.0,20,1,2121,1,1,3,1,2,279,2,415298
7,2,2022,2,1156,1,1977,1160,392,2,866,1,8,2,2,5,1,1977,505,1,0,10005,4,20,1,288,299.0,5,1,83.0,60,1,768,1,1,3,2,1,280,2,192000
7,2,1982,2,1175,1,1989,807,421,1,807,1,7,1,2,1,1,1989,575,1,0,11287,3,13,1,0,340.0,6,1,82.0,60,1,386,1,1,3,1,4,281,2,228500
6,2,1262,2,1262,1,2006,1262,905,1,0,0,5,1,1,1,1,2006,572,0,0,7200,2,6,4,0,68.0,5,1,60.0,20,1,357,1,1,3,1,1,282,2,185000
7,2,1314,2,1314,1,2008,1314,904,1,0,1,6,1,1,1,1,2007,626,0,1,5063,2,11,1,172,166.0,5,1,34.0,120,5,410,1,1,1,1,1,283,2,207500
8,3,1468,2,1468,1,2009,1468,0,1,0,1,6,1,1,3,1,2008,898,0,0,9612,3,6,1,210,72.0,5,1,74.0,20,1,1468,1,1,3,1,1,284,2,244600
6,2,1575,2,1575,1,1992,1575,430,1,0,0,5,1,1,1,1,1992,529,0,1,8012,2,13,1,0,0.0,5,1,50.0,120,4,1145,1,1,1,1,1,285,2,179200
7,2,1250,2,625,1,2007,625,0,1,625,0,5,1,1,3,1,2006,528,1,0,4251,2,6,4,0,0.0,5,1,35.0,160,4,625,2,2,1,1,1,286,2,164700
6,2,1734,1,1085,2,1981,912,600,2,649,1,7,1,2,4,1,1962,440,1,0,9786,3,12,1,0,0.0,7,1,77.0,50,1,312,2,1,1,1,1,287,4,159000
4,0,858,1,858,2,1971,858,614,2,0,0,5,2,2,5,1,1971,0,0,0,8125,3,12,1,0,0.0,4,1,77.0,20,1,244,2,1,1,1,1,288,4,88000
5,1,900,1,900,2,1967,882,450,2,0,0,5,2,2,5,1,1967,280,0,0,9819,3,10,1,0,31.0,5,1,77.0,20,1,432,2,2,2,1,1,289,2,122000
6,1,1396,1,698,2,2003,698,0,2,698,0,7,2,3,3,1,1915,384,0,0,8730,3,9,1,0,0.0,7,1,60.0,70,1,698,1,2,2,1,1,290,2,153575
8,2,1919,2,1079,1,2006,1079,0,1,840,1,8,1,1,3,1,2006,685,1,0,15611,3,1,1,0,0.0,5,1,120.0,60,1,1079,1,1,1,1,4,291,2,233230
5,0,1716,2,936,2,2000,780,210,2,780,0,9,4,1,4,2,1912,0,0,1,5687,6,24,1,0,0.0,6,1,55.0,190,2,570,1,1,1,1,1,292,2,135900
5,1,1716,1,1148,2,2008,768,292,2,568,1,8,2,2,6,1,1949,281,1,0,11409,3,16,1,0,0.0,4,1,60.0,50,1,476,1,1,2,1,1,293,2,131000
